378
L,-16777216,307,76,295,102
L,-16777216,295,102,291,121
L,-16777216,291,121,293,138
L,-16777216,293,138,301,153
L,-16777216,302,153,303,161
L,-16777216,303,161,299,170
L,-16777216,299,170,295,186
L,-16777216,295,184,298,207
L,-16777216,299,208,311,226
L,-16777216,312,228,319,242
L,-16777216,319,242,323,252
L,-16777216,323,252,333,260
L,-16777216,334,261,350,261
L,-16777216,351,261,374,252
L,-16777216,377,251,405,236
L,-16777216,406,235,421,224
L,-16777216,423,223,439,201
L,-16777216,444,157,451,142
L,-16777216,452,142,458,136
L,-16777216,455,139,465,138
L,-16777216,466,139,472,149
L,-16777216,473,151,475,163
L,-16777216,475,164,467,182
L,-16777216,467,182,452,197
L,-16777216,452,198,444,204
L,-16777216,444,204,437,205
L,-16777216,443,174,452,170
L,-16777216,453,168,454,157
L,-16777216,454,157,458,149
L,-16777216,461,148,465,147
L,-16777216,465,151,468,165
L,-16777216,465,166,457,176
L,-16777216,457,176,451,174
L,-16777216,445,188,457,182
L,-16777216,338,102,349,91
L,-16777216,349,91,353,91
L,-16777216,357,91,367,105
L,-16777216,365,106,369,124
L,-16777216,369,126,375,137
L,-16777216,377,140,385,144
L,-16777216,389,146,401,148
L,-16777216,403,148,410,152
L,-16777216,413,154,421,166
L,-16777216,422,168,424,178
L,-16777216,424,178,419,189
L,-16777216,419,190,407,194
L,-16777216,407,194,421,194
L,-16777216,421,194,430,184
L,-16777216,430,184,433,174
L,-16777216,433,171,436,161
L,-16777216,436,161,436,151
L,-16777216,335,97,337,86
L,-16777216,340,82,347,69
L,-16777216,353,65,363,60
L,-16777216,366,60,383,60
L,-16777216,387,60,406,68
L,-16777216,413,70,435,79
L,-16777216,436,80,447,84
L,-16777216,451,85,466,100
L,-16777216,471,106,477,119
L,-16777216,482,130,477,152
L,-16777216,345,69,336,56
L,-16777216,332,55,308,54
L,-16777216,300,60,289,68
L,-16777216,292,74,273,94
L,-16777216,273,96,270,133
L,-16777216,271,134,275,147
L,-16777216,277,146,284,159
L,-16777216,285,163,279,174
L,-16777216,277,177,271,179
L,-16777216,267,182,257,188
L,-16777216,256,190,252,204
L,-16777216,252,208,257,223
L,-16777216,260,224,257,208
L,-16777216,257,207,264,192
L,-16777216,268,188,277,186
L,-16777216,281,185,287,184
L,-16777216,291,65,275,67
L,-16777216,272,63,269,58
L,-16777216,266,48,266,64
L,-16777216,265,66,268,73
L,-16777216,272,74,277,74
L,-16777216,281,75,287,75
L,-16777216,337,104,321,98
L,-16777216,321,98,307,105
L,-16777216,307,105,300,116
L,-16777216,298,120,293,136
L,-1,307,76,299,100
L,-1,307,79,299,96
L,-1,304,78,297,103
L,-1,305,80,297,93
L,-1,305,81,300,94
L,-1,305,82,292,104
L,-1,302,92,289,113
L,-1,299,93,291,121
L,-1,295,94,292,110
L,-1,296,93,293,114
L,-1,299,96,289,121
L,-1,296,95,293,110
L,-1,299,94,291,110
L,-1,298,95,287,118
L,-1,295,110,293,120
L,-1,293,112,290,131
L,-1,297,112,287,133
L,-1,293,112,289,126
L,-1,293,114,289,131
L,-1,293,124,291,133
L,-16777216,362,257,367,274
L,-16777216,367,274,369,290
L,-16777216,369,290,367,297
L,-16777216,365,299,361,302
L,-16777216,415,231,415,249
L,-16777216,417,256,424,270
L,-16777216,426,272,434,277
L,-16777216,417,249,418,258
L,-16777216,313,53,293,40
L,-16777216,289,36,257,25
L,-16777216,255,25,245,64
L,-16777216,245,64,254,92
L,-16777216,263,103,267,104
L,-16777216,265,102,254,87
L,-16777216,315,50,325,36
L,-16777216,327,36,339,36
L,-16777216,343,38,349,46
L,-16777216,354,50,354,62
L,-16777216,353,46,372,28
L,-16777216,375,25,390,16
L,-16777216,397,14,418,13
L,-16777216,418,13,421,42
L,-16777216,421,42,419,59
L,-16777216,416,62,413,69
L,-16777216,415,49,389,48
L,-16777216,387,48,379,50
L,-16777216,255,64,263,62
L,-16777216,280,58,310,62
L,-16777216,423,73,442,38
L,-16777216,446,36,475,30
L,-16777216,476,30,491,30
L,-16777216,500,31,521,42
L,-16777216,525,44,533,58
L,-16777216,536,64,541,97
L,-16777216,541,104,541,110
L,-16777216,541,117,519,148
L,-16777216,517,150,499,163
L,-16777216,481,172,477,176
L,-16777216,474,187,474,191
L,-16777216,477,200,482,205
L,-16777216,482,205,501,204
L,-16777216,501,204,503,200
L,-16777216,504,199,507,192
L,-16777216,507,191,507,186
L,-16777216,509,186,505,210
L,-16777216,503,212,487,217
L,-16777216,477,219,467,219
L,-16777216,461,219,452,218
L,-16777216,451,218,444,214
L,-16777216,442,212,438,210
L,-16777216,493,167,479,174
L,-16777216,423,72,433,65
L,-16777216,428,67,442,75
L,-16777216,443,75,449,86
L,-16777216,442,43,437,46
L,-16777216,480,173,477,184
L,-16777216,475,192,477,206
L,-16777216,305,109,326,100
L,-16777216,328,100,340,103
L,-16777216,343,104,356,99
L,-16777216,360,99,365,100
L,-16777216,359,100,363,104
L,-16777216,326,174,323,168
L,-16777216,321,164,316,161
L,-16777216,314,159,301,159
L,-16777216,301,159,295,159
L,-16777216,293,160,284,159
L,-16777216,290,162,294,162
L,-16777216,299,179,304,188
L,-16777216,311,188,317,188
L,-16777216,312,160,308,166
L,-16777216,308,166,308,174
L,-16777216,308,174,311,179
L,-16777216,315,180,319,185
L,-16777216,319,185,323,180
L,-16777216,324,150,312,146
L,-16777216,312,146,300,144
L,-16777216,349,176,359,160
L,-16777216,360,159,364,157
L,-16777216,367,157,381,157
L,-16777216,387,157,396,160
L,-16777216,397,160,406,160
L,-16777216,362,188,372,185
L,-16777216,377,185,383,184
L,-16777216,384,183,393,174
L,-16777216,360,159,363,176
L,-16777216,363,176,367,178
L,-16777216,367,178,373,182
L,-16777216,374,181,380,178
L,-16777216,385,176,386,175
L,-16777216,386,174,387,168
L,-16777216,384,156,387,164
L,-16777216,352,148,365,146
L,-16777216,368,146,380,146
L,-16777216,385,148,392,152
L,-16777216,361,168,381,158
L,-16777216,308,169,322,166
L,-16777216,372,164,372,168
L,-16777216,372,168,376,170
L,-16777216,376,170,379,163
L,-16777216,318,168,318,172
L,-16777216,318,172,323,172
L,-16777216,368,178,371,174
L,-16777216,371,174,375,178
L,-16777216,313,178,317,177
L,-16777216,318,177,318,181
L,-16777216,372,164,371,168
L,-16777216,374,162,371,168
L,-16777216,376,162,373,166
L,-16777216,376,161,373,166
L,-16777216,379,162,374,169
L,-16777216,377,162,373,166
L,-16777216,378,162,375,166
L,-16777216,322,166,321,170
L,-16777216,320,167,316,170
L,-16777216,323,168,320,172
L,-16777216,388,158,404,154
L,-16777216,385,156,390,150
L,-16777216,374,156,377,150
L,-16777216,317,159,325,158
L,-16777216,313,157,319,155
L,-16777216,318,164,328,162
L,-16777216,299,181,293,182
L,-16777216,385,181,393,182
L,-16777216,390,178,394,178
L,-16777216,432,201,424,220
L,-20561,301,190,292,196
L,-20561,303,191,289,194
L,-20561,303,192,292,198
L,-20561,308,192,299,196
L,-20561,315,193,301,197
L,-20561,357,195,348,200
L,-20561,363,194,357,198
L,-20561,367,190,356,196
L,-20561,371,192,361,196
L,-20561,374,191,367,196
L,-16777216,327,207,320,200
L,-16777216,320,199,334,176
L,-16777216,369,256,364,262
L,-16777216,375,255,369,264
L,-16777216,381,251,373,267
L,-16777216,389,248,373,265
L,-16777216,398,243,384,262
L,-16777216,400,160,395,167
L,-16777216,300,160,292,165
L,-16777216,292,165,287,165
L,-16777216,321,202,323,208
L,-16777216,324,208,330,211
L,-16777216,330,208,338,208
L,-16777216,401,304,433,278
L,-16777216,437,276,472,274
L,-16777216,484,278,501,292
L,-16777216,503,295,514,330
L,-16777216,514,337,505,371
L,-16777216,361,300,331,306
L,-16777216,322,308,283,332
L,-16777216,283,338,281,355
L,-16777216,281,364,281,382
L,-16777216,331,318,350,320
L,-16777216,357,324,375,327
L,-16777216,387,326,401,317
L,-16777216,319,338,299,351
L,-16777216,293,360,281,388
L,-16777216,367,352,359,359
L,-16777216,356,361,347,375
L,-16777216,438,363,433,388
L,-16777216,401,109,417,123
L,-16777216,409,107,429,124
L,-16777216,426,104,449,127
L,-16777216,444,106,457,116
L,-16777216,276,124,290,136
L,-16777216,284,126,297,132
L,-16777216,473,95,497,124
L,-16777216,481,90,511,120
L,-16777216,356,185,361,189
L,-16777216,351,163,357,155
L,-16777216,357,155,378,154
L,-16777216,327,157,307,154
L,-16777216,329,231,360,228
L,-16777216,360,228,372,222
L,-16777216,327,230,331,231
L,-16777216,330,224,349,222
L,-16777216,349,222,361,224
L,-16777216,335,236,339,240
L,-16777216,342,240,355,237
L,-16777216,357,236,360,232
L,-1,304,162,299,171
L,-1,299,162,300,170
L,-1,302,164,293,175
L,-1,300,166,299,172
L,-1,302,165,297,174
L,-1,301,164,297,178
L,-1,299,174,296,178
L,-1,303,161,301,168
L,-16777216,293,166,296,173
L,-16777216,421,69,435,44
L,-16777216,438,43,489,45
L,-16777216,487,42,523,73
L,-16777216,525,76,537,108
L,-16777216,539,118,538,130
L,-1,446,35,481,29
L,-1,483,29,497,29
L,-1,476,29,503,31
L,-1,477,30,488,31
L,-1,475,30,453,33
L,-1,470,33,447,35
L,-1,468,32,438,38
L,-1,442,36,491,33
L,-1,499,34,527,47
L,-1,501,30,532,46
L,-1,494,26,523,41
L,-1,495,28,527,47
L,-1,501,31,523,44
L,-1,501,32,516,40
L,-1,504,34,524,42
L,-1,497,27,537,44
L,-1,513,35,535,47
L,-1,517,39,543,72
L,-1,529,48,545,74
L,-1,524,42,537,62
L,-1,522,38,531,50
L,-1,520,35,517,36
L,-1,510,27,524,45
L,-1,519,36,527,46
L,-1,520,42,528,50
L,-1,519,40,527,44
L,-1,527,43,528,45
L,-1,525,42,537,54
L,-1,529,47,528,50
L,-1,522,43,529,51
L,-1,525,44,534,61
L,-1,527,46,535,60
L,-1,535,59,537,63
L,-1,534,58,541,100
L,-1,539,93,535,61
L,-1,535,60,544,100
L,-1,543,98,531,62
L,-1,537,72,545,104
L,-1,539,88,535,71
L,-1,534,68,544,100
L,-1,538,72,541,88
L,-1,533,78,537,114
L,-1,541,117,523,151
L,-16777216,289,362,307,357
L,-16777216,308,357,324,364
L,-16777216,329,365,338,372
L,-16777216,340,372,363,372
L,-16777216,365,372,381,367
L,-16777216,385,366,406,363
L,-16777216,409,363,423,367
L,-16777216,427,369,433,372
L,-16777216,433,372,428,316
L,-16777216,429,313,435,282
L,-16777216,340,308,340,328
L,-16777216,335,334,319,346
L,-16777216,526,243,542,236
L,-16777216,535,240,538,272
L,-16777216,538,272,521,270
L,-16777216,545,245,561,270
L,-16777216,556,266,579,264
L,-16777216,557,261,577,250
L,-16777216,547,252,575,243
L,-16777216,599,231,582,250
L,-16777216,582,250,595,268
L,-16777216,599,268,579,278
L,-16777216,633,225,606,251
L,-16777216,606,251,617,261
L,-16777216,618,262,611,278
L,-16777216,611,278,604,277
L,-16777216,627,228,635,234
L,-16777216,597,232,601,234
